ISBN,name,writer,pagenum,price,date,tags
9787550290853,金性尧选宋诗三百首,金性尧,504,39.80元,2017-3,文学;宋诗;诗词;金性尧;后浪;古典文学;中国古典文学;诗
9780674598508,AsiaInsideOut,EricTagliacozzo/HelenF.Siu/PeterC.Perdue(Editors),336,USD39.95,2015-1-5,历史;东亚;英文原版;新清史;门庭若是;萧凤霞;英语学术类书籍;英文版
9789570513035,清雍正朝的養廉銀研究,[日]佐伯富,199,NT$200,1996-7-1,清史;经济史;制度史;雍正;明清史;历史;财政经济;明清
9787547416891,甲午中日战争纪要,陈悦整理注,200,35.00,2017-7,战争史;清史;史料;历史;军事;2017;收录目标;感兴趣
9780199315277,TheAnimalinOttomanEgypt,AlanMikhail,336,USD53.00,2013-11-19,动物;环境史;历史;动物研究;科学史;Animal;英文版;环境
9780812246384,FoodandEnvironmentinEarlyandMedievalChina,E.N.Anderson,352,USD69.95,2014-10-7,环境史;海外中国研究;饮食;历史;人类学;食物史;西南;英文版
9787506396806,阴郁的美男子,[法]朱利安·格拉克,,,2018,朱利安·格拉克;法国;小说;法国文学;外国文学;文艺;待购;外国小说
9787208121515,章太炎全集,章太炎,,,2014-4,章太炎;思想史;国学;学术史;中国哲学;近代史;经学;庄子
9787100124584,启蒙的另一面,(西)米格尔·贝尼泰兹,613,80.00,2017-1,思想史;哲学;启蒙运动;社会史;历史;*北京·商务印书馆*;2017;欧洲
9787508676142,政治哲学,[法]吕克·费里/[法]阿兰·雷诺,584,88.00元,2017-11-1,政治哲学;政治学;思想史;哲学;法国;哲学史;新书记;政治思想史论
9787100139540,激情与行动,[英]苏珊·詹姆斯,441,75.00,2017-8,哲学;思想史;政治哲学;情感;政治学;苏珊·詹姆斯;philosophy;2017
9787305184147,为何一切尚未消失?,[法]让·鲍德里亚,108,28,2017-7-1,鲍德里亚;法国;哲学;社会学;学术;Baudrillard;2017;新书记
9787100127288,文化科学,[澳]约翰·哈特利/[澳]贾森·波茨,146,48,2017-5-1,文化研究;社会学;文化史;人类学;符号学;科普;2017;哲学
9787305169168,认知与存在,（英）迈克尔·波兰尼著/（美）马乔里·格勒内编,231,45,2017-7,哲学;波兰尼;南京大学出版社;2017;随笔;迈克尔·波兰尼;读档二;英国
9787101125405,优游坊厢,巫仁恕,411,42.00元,2017-10,明清史;城市史;江南;社会文化史;晚明;文学;市民生活;历史
9787500417330,下学集,李洵,495,48.00元,1995-8,历史;明清史;经济史;明代;经济;福建史;社会史;清史
9787532542628,廖燕全集（上下）,廖燕,1049,118.00元,2005-12,廖燕;古典文学;中国;杂文;明清小品文;古籍;诗歌;经典
9787806434024,周勋初文集（全七册）,周勋初,3489页,150.00元,2000,周勋初;周勋初文集(全7册);古典文学;学术;文学史专题;集;治学;巩师书单
9781421416014,AHistoryofPublicHealth,GeorgeRosen,440,USD35.00,2015-1-16,医疗史;医学史;公卫;历史;世界史;醫療史;英文版;科技史
9780745628097,DiseaseandtheModernWorld,MarkHarrison,,USD64.95,2004-05,医疗史;医学史;历史;衛生史;medicine
9787550298927,古神话选释,袁珂,344,49.80元,2017-6,神话;袁珂;文化;神怪;后浪;文学;神話學;神话学
9780822348153,HealthandHygieneinChineseEastAsia,AngelaKiCheLeung/CharlotteFurth(Editors),352,USD84.95,2011-1-1,海外中国研究;医疗史;卫生史;近代史;新文化史;历史;mymajor;English
9787550245150,政治思考（修订版）,[美]格伦·廷德/GlennTinder,262,49.80元,2016-9,政治学;政治;政治哲学;后浪;格伦·廷德;科普;politics;美国
9787540480684,半岛,[法]朱利安·格拉克,,15.00元,,朱利安·格拉克;法国文学;法国;小说;文学;外国文学;【可信/不可信】;待购
9787213076763,地理与世界霸权,[英]詹姆斯·费尔格里夫,352,48.00元,2016-12,地缘政治;历史;地理;历史地理;国际关系;政治;政治学;后浪
9787220100352,鲁拜集,奥玛·海亚姆,448,49.80元,2017-4,波斯;鲁拜集;诗歌;外国文学;文学;诗;奥玛·海亚姆;后浪
9787301287705,韦布西方哲学简史,(英)克莱蒙特·韦布(ClementWebb),220,49.00元,2017-10,哲学史;西方哲学;哲学;2017;克莱蒙特·韦布;英国;新书记;【可信/不可信】
9787508678375,道德之上的政治,[美]本-艾米·沙尔夫斯坦,456,78,2018-2,政治哲学;政治学;哲学;道德之上的政治;政治;思想史;2017;新书记
9787100133098,心灵和宇宙,[美]托马斯·内格尔,157,30,2017-9-1,哲学;科学哲学;托马斯·内格尔;张卜天;2017;思想种种;*北京·商务印书馆*;自然科学相关
9787559413857,红狐丛书：割裂与伤痛的记忆,北岛主编,,,,诗歌;马其顿;萨拉蒙;波斯尼亚;波兰;斯洛文尼亚;文集;北岛
9787313148117,科学、文化与现代国家的形成,【英】帕特里克·卡罗尔,302,CNY68.00,2016-12-30,科学史;现代国家;政治学;历史;文化;英国;2016;*上海交通大学出版社*
9787508090177,从吉本到奥登,[美]G.W.鲍尔索克(G.W.Bowersock),335,59.00元,2017-8,古典学;历史;思想史;古希腊;2017;文学;华夏出版社;世界历史
9787305053665,馀波集,周勋初,,32,2008年3月,周勋初;古典文学;学术;经典著作;文学史;学术史;古代文学
9787511733528,工业与帝国,[英]埃里克•霍布斯鲍姆,564,80.00,2017-8-1,历史;英国;工业化;霍布斯鲍姆;英国史;社会学;政治学;英国研究
9787543226579,权力与规则,[法]埃哈尔·费埃德伯格,361,,2017-3-1,社会学;2017;埃哈尔·费埃德伯格;法国;人生哲学;格致出版社;新书记;政治
9787532543403,唐人轶事汇编（全二册）,周勋初,2236,180.00元,2006-4,历史;隋唐史;唐人轶事汇编;唐史;文化;唐代;古籍;古典
9787301279670,西域考古与艺术,林梅村,388,CNY90.00,2017-11-15,西域;考古;考古学;历史;林梅村;SilkRoad;MedievalChina;2017
9780520033436,TheMedicalProfessioninMid-VictorianLondon,M.JeannePeterson,406,USD50.00,1978-6-1,医疗史;医学社会史;medicine;英国;历史;Peterson_M_Jeanne
